Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-01-01,101.82948180429986,102.98069881271473,100.66320180519217,101.19342830602247,101.19342830602247,2252557,AAPL
2020-01-02,100.62252691585849,101.26617656583895,100.25287858581936,101.11689970368009,101.11689970368009,2490687,AAPL
2020-01-03,102.15515393514988,104.42774764623651,100.6141777836742,102.61227677988148,102.61227677988148,5057025,AAPL
2020-01-06,105.1090494442823,107.85146780527549,105.41768170582236,105.85833649269753,105.85833649269753,6272864,AAPL
2020-01-07,105.26395919468578,106.99089334156388,105.38359644549287,105.59002974325087,105.59002974325087,4788963,AAPL
2020-01-08,106.32084366679068,106.86265027150047,104.15168549191517,105.3217558293525,105.3217558293525,4874910,AAPL
2020-01-09,108.4916837975974,109.35478713330225,107.70309652748676,108.68018146036728,108.68018146036728,4368045,AAPL
2020-01-10,109.85602778805132,112.29820462414096,109.36665837654648,110.4150509186731,110.4150509186731,6185773,AAPL
2020-01-13,110.20106791575431,110.73553007901994,108.34223131168876,109.6761021468032,109.6761021468032,5832691,AAPL
2020-01-14,111.04616424090044,112.42599912717023,110.42693409423383,110.96122223397512,110.96122223397512,1968616,AAPL
2020-01-15,109.53358974740411,112.08260228017275,108.41305685758242,110.2343868483502,110.2343868483502,5217733,AAPL
2020-01-16,109.26430670353142,111.4532872931607,108.6315832089651,109.50292734120968,109.50292734120968,8914520,AAPL
2020-01-17,110.01579131542044,111.85326059753511,109.92867949405684,110.18685188434176,110.18685188434176,2490036,AAPL
2020-01-20,107.0679507961646,107.16632640899022,105.07569388155827,106.56029139502616,106.56029139502616,3869729,AAPL
2020-01-21,102.35179846778391,105.24355076310427,102.0242470247644,103.3104557300001,103.3104557300001,8585159,AAPL
2020-01-22,101.92391996511478,103.64211973400529,101.75439386655007,102.38588067151815,102.38588067151815,8179156,AAPL
2020-01-23,100.59541103348035,102.42150338355323,99.31718098278121,100.5602184308493,100.5602184308493,9944718,AAPL
2020-01-24,100.92640658094554,102.74092314766855,100.94898918330189,101.38871309603985,101.38871309603985,8904428,AAPL
2020-01-27,100.02953303983543,100.38714286869288,98.88298622631638,99.77266494499743,99.77266494499743,5202271,AAPL
2020-01-28,97.11179250087608,97.88810659061247,95.34923249799219,97.14805754232684,97.14805754232684,5042879,AAPL
2020-01-29,100.00277558988911,101.38029863437583,100.01228661384845,100.27935508016995,100.27935508016995,3322523,AAPL
2020-01-30,100.92621973293791,101.60783216231664,99.25440957922196,100.02780247919688,100.02780247919688,5746771,AAPL
2020-01-31,100.62717788694565,100.9988239912534,98.72057403913203,100.36285888857273,100.36285888857273,9640145,AAPL
2020-02-03,96.97324526068171,98.87282484841421,95.77438071733347,97.71336251614582,97.71336251614582,2756124,AAPL
2020-02-04,96.94478046198225,97.51584705424825,95.91674479425185,96.82459706709545,96.82459706709545,1841531,AAPL
2020-02-05,97.80790595291698,98.8779810557854,96.2324430062285,97.24644224651519,97.24644224651519,1864645,AAPL
2020-02-06,95.56143448665617,96.07791127920648,94.00011116810305,95.14445509167058,95.14445509167058,2428127,AAPL
2020-02-07,95.44002958695245,96.2492967820677,94.23115484509451,96.09585112836193,96.09585112836193,6130076,AAPL
2020-02-10,96.03941374660452,95.42667879148739,93.37816016657025,95.09457374852431,95.09457374852431,9859690,AAPL
2020-02-11,94.60881354043097,94.83339558417703,94.36998399969447,94.71118624893776,94.71118624893776,5254849,AAPL
2020-02-12,93.02582303195949,94.70637891650762,92.83425738878482,93.70777302447897,93.70777302447897,8574587,AAPL
2020-02-13,96.97272090175314,97.82500398819329,96.68432853710398,97.61232939349684,97.61232939349684,7515350,AAPL
2020-02-14,96.98180492839913,98.01361488264024,96.20714272072345,97.78533494402097,97.78533494402097,9336900,AAPL
2020-02-17,96.47694930297905,97.75200960618594,94.6641273208983,95.86991308610918,95.86991308610918,2615777,AAPL
2020-02-18,96.95906389895924,99.46031305466767,96.40656198625751,97.71500291031555,97.71500291031555,4512664,AAPL
2020-02-19,94.723566124657,96.37748880399623,93.47691579504227,95.4733156103735,95.4733156103735,1973181,AAPL
2020-02-20,96.79198602990469,98.06265344208343,95.941122713443,96.09104280038302,96.09104280038302,2491633,AAPL
2020-02-21,92.06091072151858,92.37207560896479,91.92568290555599,92.37170255262346,92.37170255262346,3061774,AAPL
2020-02-24,88.97704626344274,91.14328936737338,89.0995385800835,89.9153304548266,89.9153304548266,3790358,AAPL
2020-02-25,89.61284352560168,91.7419092813086,89.81348812046707,90.50905292656485,90.50905292656485,4860562,AAPL
2020-02-26,91.47032697996346,93.10087219829545,92.1426949638617,92.18598608655567,92.18598608655567,7976610,AAPL
2020-02-27,92.155509344887,93.5226185948042,92.54516743599326,92.72872264893562,92.72872264893562,2765524,AAPL
2020-02-28,93.02771847263594,93.60819235512035,91.33551950135198,92.69742608415913,92.69742608415913,2250632,AAPL
2020-03-02,91.6098712529842,93.12513956513992,90.53656976625544,92.29521869298055,92.29521869298055,7210715,AAPL
2020-03-03,88.77592349459985,90.99915966721031,88.50972068971375,89.5381747122457,89.5381747122457,9526086,AAPL
2020-03-04,88.82792457840884,88.56919716540285,87.22010413642901,88.29848629545629,88.29848629545629,4243087,AAPL
2020-03-05,87.91931932125654,87.97248719471897,87.06702188787195,87.57720875353671,87.57720875353671,1909711,AAPL
2020-03-06,89.76210164888502,90.25248966275939,88.35570047870712,89.89145320597454,89.89145320597454,4711584,AAPL
2020-03-09,90.87730932807168,91.303630955354,89.27510061037695,90.77868978511147,90.77868978511147,7913283,AAPL
2020-03-10,87.07657751503884,88.50312631194916,86.27587809595069,87.452609474386,87.452609474386,2619715,AAPL
2020-03-11,88.2657782536463,88.52319490785202,87.8754488401529,88.30077741317558,88.30077741317558,3590310,AAPL
2020-03-12,87.74395815030844,89.46695144299596,87.53657641586878,87.73061285234296,87.73061285234296,7314768,AAPL
2020-03-13,86.35124339408722,87.17149191434798,86.44829170001678,86.57676885173103,86.57676885173103,9324454,AAPL
2020-03-16,88.81326585075709,88.32519740435019,86.81472929612701,88.00012142941277,88.00012142941277,9815995,AAPL
2020-03-17,89.29424420436668,91.61336309360115,88.61204983611907,90.26212047440467,90.26212047440467,7726451,AAPL
2020-03-18,92.88902323881956,92.40085331383571,90.60801984907522,92.32468071263708,92.32468071263708,9064220,AAPL
2020-03-19,90.09501132867445,92.08618279594012,89.9190015175049,90.84624566619179,90.84624566619179,2544613,AAPL
2020-03-20,91.02291563556376,91.82421777584236,88.85927831587593,90.42782091448936,90.42782091448936,2297638,AAPL
